syscall_rate,open_unlink_ratio,unique_files_accessed,failed_syscall_ratio,process_spawn_rate,file_churn_rate,label
1894,622.3333333333334,1752,0.21119324181626187,24,3,0
51,40.0,18,0.0,11,0,0
140,65.0,61,0.014285714285714285,0,2,0
1494,1467.0,1406,0.15997322623828647,26,0,0
90,8.125,37,0.0,17,8,0
23,6.666666666666667,9,0.0,0,3,0
106,25.5,39,0.0,0,4,0
222,13.333333333333334,24,0.07207207207207207,7,15,0
2750,12.792553191489361,1665,0.10363636363636364,66,188,0
357,8.212121212121213,102,0.08683473389355742,33,33,0
1501,8.019108280254777,209,0.31978680879413723,21,157,0
636,6.022222222222222,131,0.3270440251572327,0,90,0
183,10.0,80,0.060109289617486336,10,15,0
1746,59.964285714285715,1494,0.13974799541809851,39,28,0
437,5.962264150943396,144,0.011441647597254004,32,53,0
72,11.8,34,0.027777777777777776,0,5,0
250,7.923076923076923,90,0.06,4,26,0
1534,21.793650793650794,1254,0.5397653194263363,43,63,0
1742,9.666666666666666,1346,0.10045924225028703,24,159,0
322,2.7051282051282053,114,0.003105590062111801,23,78,0
97,3.1818181818181817,18,0.041237113402061855,10,11,0
135,32.75,47,0.0,0,4,0
1546,252.0,1437,0.1571798188874515,26,6,0
84,12.0,31,0.011904761904761904,17,5,0
202,5.482758620689655,82,0.01485148514851485,14,29,0
94,2.7142857142857144,38,0.0425531914893617,14,21,0
152,8.375,60,0.019736842105263157,0,16,0
2170,92.81818181818181,1774,0.21658986175115208,74,22,0
178,12.25,67,0.06179775280898876,24,8,0
3428,194.94117647058823,1574,0.3030921820303384,36,17,0
6573,82.24657534246575,928,0.42233378974593033,399,73,0
2434,23.04123711340206,1042,0.1725554642563681,67,97,0
6766,160.05,2329,0.2984037836240024,303,40,0
1633,42.48571428571429,838,0.2608695652173913,40,35,0
700,9.59016393442623,529,0.09428571428571429,2,61,0
3109,66.07142857142857,554,0.43743969121904147,217,42,0
434,14.153846153846153,320,0.09216589861751152,8,26,0
1662,397.75,1490,0.16666666666666666,27,4,0
1828,292.8333333333333,1651,0.13676148796498905,35,6,0
3460,361.22222222222223,1312,0.1722543352601156,158,9,0
3866,613.0,480,0.7718572167615106,120,6,0
5885,1449.75,1792,0.5011045029736618,46,4,0
142,21.5,34,0.1056338028169014,22,4,0
114,41.0,63,0.2807017543859649,0,2,0
140,111.0,42,0.09285714285714286,0,0,0
56,32.0,12,0.21428571428571427,0,0,0
1647,394.75,1510,0.1554341226472374,26,4,0
710,80.375,270,0.3929577464788732,28,8,0
1013,117.75,666,0.3336623889437315,6,8,0
5013,87.0,1173,0.19349690803909833,285,53,0
974,37.25,324,0.29671457905544146,6,24,0
5012,163.2,2791,0.19353551476456504,28,30,0
1502,123.18181818181819,727,0.13981358189081225,78,11,0
2678,292.625,519,0.14899178491411502,274,8,0
1635,61.13636363636363,584,0.1675840978593272,207,22,0
1886,165.9090909090909,1745,0.1378579003181336,18,11,0
3151,305.0,1824,0.33322754681053635,31,10,0
2295,77.57142857142857,57,0.6217864923747277,17,28,0
645,21.296296296296298,124,0.37829457364341085,7,27,0
358,15.473684210526315,95,0.05027932960893855,0,19,0
1944,29.5,1669,0.1522633744855967,26,62,0
2864,14.946745562130177,1863,0.09741620111731844,67,169,0
1033,8.677777777777777,244,0.09002904162633107,56,90,0
899,0.5817843866171004,188,0.15127919911012236,2,538,0
736,5.880434782608695,260,0.22010869565217392,0,92,0
3596,16.739795918367346,2879,0.33231368186874305,43,196,0
1165,4.196078431372549,367,0.06695278969957082,55,204,0
1013,2.163763066202091,315,0.15893385982230998,14,287,0
1317,2.43952802359882,389,0.06378132118451026,31,339,0
837,4.829059829059829,317,0.14217443249701314,62,117,0
2877,92.66666666666667,2646,0.3986791797010775,28,30,0
174,20.166666666666668,71,0.08620689655172414,17,6,0
93,61.0,40,0.16129032258064516,1,1,0
156,31.25,54,0.09615384615384616,0,4,0
204,86.5,17,0.4950980392156863,0,2,0
1763,121.07142857142857,1605,0.14634146341463414,26,14,0
119,23.333333333333332,35,0.13445378151260504,17,3,0
90,14.0,33,0.16666666666666666,0,4,0
306,7.393939393939394,102,0.09477124183006536,0,33,0
599,5.1,241,0.15692821368948248,10,90,0
5564,50.58095238095238,3295,0.39485981308411217,72,105,0
220,21.428571428571427,84,0.17272727272727273,24,7,0
98,6.0,33,0.21428571428571427,0,10,0
158,21.0,48,0.08227848101265822,0,6,0
248,6.137931034482759,103,0.14516129032258066,0,29,0
1677,541.0,1552,0.1526535480023852,26,3,0
112,32.0,31,0.125,17,2,0
71,8.5,16,0.18309859154929578,0,4,0
155,13.11111111111111,51,0.09032258064516129,0,9,0
87,4.454545454545454,28,0.14942528735632185,1,11,0
1680,322.8,1543,0.15178571428571427,25,5,0
156,11.125,41,0.10256410256410256,17,8,0
90,7.285714285714286,24,0.17777777777777778,0,7,0
153,23.6,52,0.09803921568627451,0,5,0
1210,60.68421052631579,1075,0.17520661157024794,8,19,0
626,284.0,492,0.09424920127795527,30,2,0
106,3.75,39,0.11320754716981132,5,16,0
226,4.121951219512195,111,0.12389380530973451,4,41,0
105,104.0,40,0.0,0,1,0
1550,507.0,1449,0.15741935483870967,26,3,0
67,50.0,24,0.0,17,0,0
757,122.66666666666667,610,0.2892998678996037,3,6,0
577,189.66666666666666,365,0.03986135181975736,0,3,0
2071,294.85714285714283,1494,0.028005794302269436,0,7,0
1624,112.42857142857143,1491,0.1539408866995074,26,14,0
98,26.0,47,0.0,17,3,0
24,24.0,11,0.041666666666666664,0,0,0
104,51.0,40,0.0,0,2,0
1515,1489.0,1430,0.1603960396039604,26,0,0
1899,1852.0,1161,0.21642969984202212,24,1,0
26,26.0,8,0.0,0,0,0
58,57.0,28,0.034482758620689655,0,1,0
95,95.0,34,0.0,0,0,0
1563,138.54545454545453,1453,0.15930902111324377,26,11,0
2730,13.719780219780219,2059,0.18717948717948718,43,182,1
774,3.053763440860215,329,0.11886304909560723,20,186,1
933,3.004739336492891,365,0.10182207931404073,22,211,1
877,3.1586538461538463,377,0.11744583808437856,10,208,1
2266,10.705263157894738,1708,0.14916151809355693,42,190,1
6696,30.611650485436893,2515,0.6252986857825568,138,206,1
4992,16.917910447761194,2799,0.3527644230769231,101,268,1
1327,5.036697247706422,804,0.08666164280331574,11,218,1
2795,6.676470588235294,1104,0.18926654740608229,144,340,1
2668,9.0234375,1620,0.12368815592203898,70,256,1
1922,3.1106194690265485,512,0.12330905306971904,46,452,1
1534,3.6123076923076924,578,0.0697522816166884,33,325,1
1679,4.927536231884058,499,0.2388326384752829,21,276,1
4081,8.498817966903074,2009,0.2700318549375153,48,423,1
2837,6.406417112299465,592,0.35213253436728936,41,374,1
1250,3.7868217054263567,490,0.128,11,258,1
2024,4.476839237057221,525,0.31867588932806323,10,367,1
915,3.4974874371859297,391,0.1092896174863388,10,199,1
2499,9.959641255605382,1812,0.13725490196078433,41,223,1
878,3.087378640776699,352,0.11047835990888383,36,206,1
960,3.8121827411167515,404,0.10104166666666667,10,197,1
822,3.25130890052356,352,0.11557177615571776,10,191,1
767,2.968421052631579,320,0.12646675358539766,9,190,1
3209,8.751572327044025,1929,0.11405422249922094,74,318,1
1058,3.033195020746888,407,0.10302457466918714,44,241,1
1920,6.317460317460317,544,0.06510416666666667,21,252,1
2257,5.141242937853107,553,0.2711564023039433,19,354,1
1222,3.664092664092664,391,0.23076923076923078,10,259,1
5688,23.22566371681416,2980,0.16561181434599156,183,226,1
1511,5.640394088669951,504,0.17670416942422237,163,203,1
1039,4.166666666666667,486,0.11453320500481232,10,198,1
701,2.6524064171122994,289,0.1340941512125535,10,187,1
763,2.8947368421052633,325,0.1258191349934469,9,190,1
2085,10.47752808988764,1642,0.15731414868105514,42,178,1
662,2.817073170731707,253,0.12235649546827794,36,164,1
526,2.0058479532163744,207,0.1634980988593156,10,171,1
539,1.8804347826086956,210,0.15769944341372913,9,184,1
523,2.1847133757961785,202,0.15296367112810708,10,157,1
2050,10.286516853932584,1634,0.16146341463414635,41,178,1
700,2.854651162790698,269,0.12285714285714286,37,172,1
502,2.0060975609756095,199,0.16135458167330677,9,164,1
582,2.195530726256983,233,0.15463917525773196,10,179,1
647,2.6494252873563218,249,0.14219474497681608,10,174,1
2066,11.63125,1635,0.15392061955469508,41,160,1
715,2.8125,271,0.12447552447552447,36,176,1
528,2.0058479532163744,206,0.16477272727272727,10,171,1
591,2.0748663101604277,229,0.1658206429780034,9,187,1
577,1.9170984455958548,227,0.1663778162911612,10,193,1
2021,12.0,1622,0.15685304304799605,42,152,1
709,3.005952380952381,269,0.11988716502115655,36,168,1
514,2.475862068965517,209,0.13813229571984437,10,145,1
540,2.179640718562874,217,0.1537037037037037,9,167,1
597,2.611464968152866,254,0.15912897822445563,18,157,1
1990,10.57396449704142,1598,0.1542713567839196,34,169,1
711,2.8079096045197742,275,0.12658227848101267,35,177,1
599,2.567901234567901,234,0.1335559265442404,13,162,1
456,1.9466666666666668,175,0.16447368421052633,10,150,1
1077,5.75796178343949,760,0.20798514391829154,16,157,1
2346,11.648351648351648,1790,0.14705882352941177,44,182,1
2363,10.73469387755102,1758,0.1434617012272535,63,196,1
890,3.3282051282051284,355,0.10898876404494381,46,195,1
943,3.837696335078534,395,0.10180275715800637,19,191,1
793,3.0952380952380953,315,0.11853720050441362,19,189,1
790,2.9690721649484537,320,0.11772151898734177,20,194,1
2309,10.639175257731958,1741,0.1455175400606323,51,194,1
1702,3.695266272189349,573,0.06933019976498238,71,338,1
1034,3.688679245283019,432,0.09574468085106383,21,212,1
981,3.826530612244898,422,0.11824668705402651,29,196,1
899,3.4619289340101522,378,0.10901001112347053,20,197,1
2507,10.92156862745098,1808,0.13681691264459514,61,204,1
1185,4.170506912442396,438,0.12742616033755275,47,217,1
812,3.1518324607329844,330,0.11822660098522167,19,191,1
812,3.1904761904761907,332,0.11576354679802955,20,189,1
911,3.374384236453202,347,0.1119648737650933,21,203,1
2405,10.359223300970873,1781,0.14054054054054055,51,206,1
1094,4.057971014492754,442,0.09140767824497258,47,207,1
803,2.91,325,0.11830635118306351,19,200,1
673,2.4731182795698925,263,0.13818722139673106,19,186,1
1790,4.273846153846153,569,0.11173184357541899,48,325,1
3976,7.30406852248394,2063,0.1073943661971831,70,467,1
1256,4.089361702127659,478,0.09315286624203821,46,235,1
800,2.8275862068965516,317,0.12,19,203,1
790,3.026178010471204,316,0.12025316455696203,19,191,1
867,3.014705882352941,347,0.1118800461361015,20,204,1
2365,10.801020408163266,1771,0.14249471458773785,52,196,1
997,3.6683168316831685,400,0.11033099297893681,50,202,1
2719,12.01015228426396,1118,0.3306362633321074,117,197,1
7526,22.32890365448505,1214,0.39622641509433965,406,301,1
5611,20.105882352941176,2893,0.2113705221885582,179,255,1
7203,23.83703703703704,1067,0.3834513397195613,479,270,1
1342,4.633620689655173,640,0.08494783904619971,23,232,1
885,3.5287958115183247,362,0.10847457627118644,20,191,1
771,2.962962962962963,312,0.1245136186770428,20,189,1
2450,10.425837320574162,1763,0.1404081632653061,60,209,1
1030,3.984771573604061,425,0.09611650485436893,46,197,1
882,3.5989304812834226,354,0.10430839002267574,20,187,1
794,2.948717948717949,319,0.12090680100755667,20,195,1
1003,3.5416666666666665,424,0.1036889332003988,22,216,1
2334,10.707692307692307,1726,0.14481576692373607,51,195,1
920,3.2938144329896906,352,0.10434782608695652,45,194,1
868,3.5294117647058822,349,0.10599078341013825,20,187,1
762,3.0108108108108107,310,0.12335958005249344,18,185,1
787,3.0476190476190474,318,0.1207115628970775,20,189,1
2293,10.261306532663317,1698,0.14827736589620585,52,199,1
1089,4.321428571428571,444,0.08907254361799816,46,196,1
887,3.5208333333333335,370,0.10822998872604284,19,192,1
902,3.517948717948718,378,0.10753880266075388,19,195,1
780,3.0,315,0.12051282051282051,20,190,1
2272,10.034825870646767,1689,0.14964788732394366,52,201,1
932,3.6335078534031413,368,0.10300429184549356,45,191,1
931,3.577889447236181,389,0.1041890440386681,20,199,1
860,3.3802083333333335,353,0.1127906976744186,19,192,1
796,3.127659574468085,324,0.11809045226130653,20,188,1
2251,10.432291666666666,1683,0.15015548645046645,52,192,1
1025,3.9343434343434343,407,0.09853658536585366,46,198,1
793,3.189189189189189,325,0.11601513240857503,18,185,1
1571,1529.0,1424,0.16804583068109485,42,0,0
112,82.0,24,0.0,30,0,0
157,138.0,36,0.0,19,0,0
8557,436.10526315789474,3122,0.6455533481360289,163,19,0
3603,55.73770491803279,2350,0.13349986122675547,96,61,0
743,139.8,126,0.005383580080753701,37,5,0
75,56.0,5,0.0,19,0,0
336,33.888888888888886,62,0.026785714285714284,19,9,0
3293,18.30817610062893,1991,0.18584877011843304,172,159,0
617,10.361702127659575,175,0.03889789303079417,63,47,0
1245,9.495575221238939,203,0.14859437751004015,50,113,0
175,3.413793103448276,19,0.06857142857142857,20,29,0
170,24.0,42,0.0,20,6,0
2357,209.0909090909091,1474,0.30292745014849387,46,11,0
739,30.818181818181817,92,0.39783491204330174,37,22,0
464,4.0227272727272725,95,0.29094827586206895,20,88,0
1282,6.930817610062893,190,0.4266770670826833,19,159,0
1002,4.955974842767295,285,0.021956087824351298,45,159,0
2932,15.39080459770115,1665,0.25170532060027284,60,174,0
2089,8.615384615384615,320,0.3681187170895165,53,208,0
185,7.315789473684211,26,0.21081081081081082,20,19,0
131,7.461538461538462,38,0.007633587786259542,19,13,0
156,137.0,36,0.00641025641025641,19,0,0
1656,229.0,1481,0.14915458937198067,46,7,0
332,11.954545454545455,92,0.012048192771084338,46,22,0
226,9.666666666666666,55,0.008849557522123894,24,18,0
381,6.512195121951219,83,0.013123359580052493,33,41,0
307,19.0,79,0.026058631921824105,29,13,0
1900,43.68292682926829,1559,0.13157894736842105,49,41,0
1217,31.457142857142856,994,0.6236647493837305,41,35,0
87,21.0,9,0.011494252873563218,19,3,0
125,12.125,35,0.0,20,8,0
155,135.0,35,0.0,20,0,0
1674,1629.0,1484,0.14575866188769415,45,0,0
661,17.580645161290324,200,0.037821482602118005,54,31,0
703,3.6814814814814816,212,0.02275960170697013,37,135,0
405,14.130434782608695,121,0.044444444444444446,35,23,0
1447,22.859649122807017,904,0.16447823082239116,51,57,0
1679,14.435643564356436,1005,0.13222156045265038,58,101,0
3149,19.523809523809526,1520,0.6617973959987298,38,147,0
697,4.0859375,230,0.07890961262553801,34,128,0
319,6.2894736842105265,89,0.05642633228840126,18,38,0
897,36.21739130434783,749,0.21627647714604237,27,23,0
1307,16.10958904109589,946,0.11017597551644988,38,73,0
253,7.32,78,0.11857707509881422,37,25,0
342,6.717948717948718,96,0.14912280701754385,23,39,0
377,6.613636363636363,110,0.021220159151193633,28,44,0
1836,85.85,1562,0.14596949891067537,51,20,0
640,8.543859649122806,184,0.05,57,57,0
351,9.566666666666666,101,0.06267806267806268,24,30,0
1051,39.13636363636363,357,0.1950523311132255,86,22,0
5363,29.23030303030303,1375,0.34812604885325377,204,165,0
7544,37.47282608695652,3296,0.41370625662778365,349,184,0
3506,32.81443298969072,1208,0.2592698231602966,187,97,0
7026,51.168,1070,0.3599487617421008,426,125,0
4491,32.221374045801525,1503,0.37942551770207084,86,131,0
2090,57.911764705882355,1564,0.09090909090909091,33,34,0
1952,87.33333333333333,1620,0.14190573770491804,50,21,0
459,18.0,259,0.04139433551198257,42,20,0
419,85.25,253,0.15035799522673032,24,4,0
274,24.77777777777778,143,0.12773722627737227,26,9,0
1730,1685.0,1520,0.12716763005780346,30,1,0
7849,963.0,1959,0.7030194929290355,56,8,0
344,1.2,135,0.12209302325581395,39,120,0
249,3.6136363636363638,92,0.11244979919678715,22,44,0
254,11.833333333333334,97,0.01968503937007874,21,18,0
184,157.0,91,0.14130434782608695,27,0,0
1636,317.6,1470,0.1387530562347188,36,5,0
157,9.363636363636363,39,0.012738853503184714,38,11,0
107,7.888888888888889,23,0.037383177570093455,19,9,0
845,2.533333333333333,263,0.0035502958579881655,36,225,0
1692,546.0,1532,0.1495271867612293,47,3,0
5959,204.7037037037037,1527,0.237455948984729,335,27,0
762,26.14814814814815,410,0.18241469816272965,25,27,0
2520,56.2093023255814,895,0.3126984126984127,30,43,0
2340,68.48484848484848,820,0.1,21,33,0
3662,78.0,2456,0.13517203713817585,140,44,0
3850,106.06451612903226,838,0.15532467532467534,501,31,0
444,52.857142857142854,250,0.1036036036036036,41,7,0
3212,223.07142857142858,1833,0.3393524283935243,33,14,0
2522,174.0,88,0.6007137192704203,30,14,0
1930,58.903225806451616,1605,0.17875647668393782,47,31,0
258,9.3,78,0.015503875968992248,37,20,0
1676,817.0,1550,0.1515513126491647,37,2,0
160,2.1666666666666665,65,0.0625,25,42,0
303,17.533333333333335,110,0.066006600660066,19,15,0
1707,275.3333333333333,1506,0.14645577035735208,47,6,0
124,87.0,22,0.0,37,0,0
81,19.333333333333332,9,0.0,20,3,0
185,162.0,60,0.010810810810810811,20,1,0
92,23.0,16,0.0,20,3,0
1822,141.58333333333334,1523,0.13885839736553238,59,12,0
155,13.0,32,0.0,43,8,0
81,63.0,12,0.012345679012345678,18,0,0
198,31.4,56,0.005050505050505051,24,5,0
1414,84.5625,1300,0.15346534653465346,33,16,0
535,92.0,292,0.0616822429906542,56,5,0
276,6.46875,86,0.014492753623188406,35,32,0
131,6.75,24,0.015267175572519083,30,12,0
155,136.0,35,0.0,19,0,0
1680,115.64285714285714,1500,0.1488095238095238,47,14,0
213,12.538461538461538,62,0.0,37,13,0
81,61.0,9,0.0,20,0,0
338,7.970588235294118,86,0.04437869822485207,29,34,0
166,35.5,40,0.0,20,4,0
1575,1529.0,1431,0.1580952380952381,46,0,0
197,157.0,54,0.005076142131979695,37,1,0
83,60.0,11,0.024096385542168676,20,1,0
74,55.0,5,0.0,19,0,0
178,16.666666666666668,48,0.0,19,9,0
1568,1523.0,1425,0.15880102040816327,45,0,0
179,142.0,49,0.0,37,0,0
73,54.0,6,0.0136986301369863,19,0,0
81,59.0,7,0.012345679012345678,19,1,0
152,133.0,35,0.0,19,0,0
1627,1581.0,1436,0.1530424093423479,46,0,0
126,87.0,24,0.007936507936507936,36,1,0
74,53.0,7,0.0,20,1,0
73,54.0,6,0.0,19,0,0
161,141.0,39,0.0,20,0,0
1635,1588.0,1435,0.1529051987767584,46,1,0
121,84.0,22,0.0,37,0,0
75,56.0,5,0.0,19,0,0
172,153.0,53,0.0,19,0,0
81,29.0,8,0.012345679012345678,19,2,0
1622,1575.0,1432,0.1535141800246609,47,0,0
159,8.916666666666666,41,0.012578616352201259,36,12,0
1601,127.91666666666667,1438,0.15740162398500937,46,12,0
218,84.5,55,0.009174311926605505,37,2,0
1568,1523.0,1425,0.15880102040816327,45,0,0
188,74.5,52,0.0,37,2,0
79,59.0,7,0.0,20,0,0
81,30.0,8,0.0,19,2,0
243,110.0,60,0.00411522633744856,19,2,0
1590,513.6666666666666,1435,0.15723270440251572,46,3,0
425,10.363636363636363,122,0.009411764705882352,50,33,0
86,60.0,8,0.0,20,1,0
82,30.0,9,0.0,20,2,0
192,41.75,57,0.005208333333333333,19,4,0
1854,42.5609756097561,1508,0.13754045307443366,60,41,0
198,30.0,54,0.005050505050505051,37,5,0
263,6.517241379310345,72,0.022813688212927757,23,29,0
1738,6.0625,1181,0.43670886075949367,38,240,0
165,144.0,41,0.0,21,0,0
1590,256.0,1438,0.15723270440251572,45,6,0
204,21.285714285714285,56,0.004901960784313725,37,7,0
139,6.3125,40,0.007194244604316547,20,16,0
91,71.0,18,0.02197802197802198,20,0,0
158,67.5,38,0.006329113924050633,19,2,0
1642,531.3333333333334,1441,0.15225334957369063,45,3,0
124,86.0,22,0.0,38,0,0
81,61.0,9,0.0,20,0,0
183,39.5,54,0.00546448087431694,19,4,0
86,8.571428571428571,13,0.0,19,7,0
1697,528.0,1441,0.1473187978786093,46,3,0
190,8.833333333333334,39,0.06315789473684211,48,12,0
148,5.928571428571429,25,0.02027027027027027,29,14,0
264,6.92,63,0.01893939393939394,34,25,0
639,48.833333333333336,527,0.20657276995305165,31,12,0
1151,108.5,953,0.10251954821894005,48,10,0
127,43.0,25,0.007874015748031496,37,2,0
142,5.0,22,0.007042253521126761,20,15,0
234,39.0,83,0.05982905982905983,22,5,0
1585,767.5,1436,0.15772870662460567,46,2,0
227,14.666666666666666,66,0.01762114537444934,37,12,0
145,9.166666666666666,31,0.006896551724137931,20,12,0
75,55.0,9,0.0,19,1,0
271,23.8,100,0.055350553505535055,21,10,0
1591,385.0,1440,0.1583909490886235,45,4,0
197,38.75,55,0.0,38,4,0
81,28.5,8,0.012345679012345678,20,2,0
6666,1612.25,2814,0.6426642664266426,143,4,0
3528,47.2,1858,0.41524943310657597,89,70,0
2226,543.25,1926,0.11769991015274034,46,4,0
2466,12.108695652173912,1802,0.14476885644768855,54,184,1
960,3.766839378238342,389,0.1,40,193,1
893,3.5473684210526315,354,0.10638297872340426,29,190,1
831,3.221052631578947,323,0.11432009626955475,29,190,1
859,3.2081218274111674,342,0.12456344586728754,29,197,1
2588,10.704225352112676,1817,0.13562596599690882,73,213,1
1111,3.919047619047619,437,0.0891089108910891,64,210,1
887,3.36734693877551,349,0.10822998872604284,29,196,1
913,3.0375586854460095,357,0.11062431544359255,45,213,1
1205,4.188940092165899,463,0.08879668049792531,37,217,1
2613,10.337899543378995,1810,0.13279755070799848,76,219,1
1031,3.700980392156863,373,0.09311348205625607,58,204,1
881,3.4375,346,0.10896708286038592,29,192,1
819,3.109375,319,0.11477411477411477,30,192,1
802,3.0789473684210527,314,0.11845386533665836,27,190,1
2454,11.523560209424083,1769,0.14058679706601468,62,191,1
1054,3.671361502347418,414,0.10056925996204934,59,213,1
848,3.367021276595745,335,0.10849056603773585,27,188,1
819,3.00507614213198,317,0.11477411477411477,30,197,1
875,3.452127659574468,377,0.1337142857142857,36,188,1
5342,25.21319796954315,3096,0.4247472856608012,146,197,1
7999,26.942238267148014,3354,0.4885610701337667,158,277,1
1309,5.671875,777,0.08097784568372804,28,192,1
3081,8.101587301587301,910,0.15060045439792275,164,315,1
3836,9.378151260504202,2089,0.1319082377476538,105,357,1
1378,4.16600790513834,471,0.11538461538461539,59,253,1
1016,3.857142857142857,408,0.09744094488188976,30,203,1
1090,4.115942028985507,439,0.0963302752293578,29,207,1
2556,10.06578947368421,421,0.4194053208137715,31,228,1
2693,11.074074074074074,1889,0.14444857036761977,79,216,1
2156,3.983213429256595,654,0.22820037105751392,78,417,1
1237,4.642857142857143,511,0.08084074373484236,38,210,1
1291,5.04390243902439,508,0.07591014717273431,38,205,1
1245,4.6875,512,0.08112449799196787,38,208,1
3014,11.38135593220339,2074,0.11778367617783676,82,236,1
1394,4.8061674008810575,575,0.07388809182209469,70,227,1
1299,4.469827586206897,543,0.07698229407236336,30,232,1
1196,4.27,450,0.09448160535117058,30,200,1
946,3.7905759162303663,383,0.09830866807610994,29,191,1
2611,11.47783251231527,1895,0.13672922252010725,62,203,1
2739,11.490099009900991,941,0.23658269441401972,136,202,1
8207,28.80544747081712,1601,0.395637870110881,442,257,1
3200,9.832740213523131,1332,0.1865625,118,281,1
5904,20.473076923076924,1179,0.32113821138211385,307,260,1
6153,23.077868852459016,2356,0.25841053144807413,258,244,1
4511,15.088235294117647,3015,0.1766792285524274,95,272,1
1414,5.211267605633803,608,0.09759547383309759,35,213,1
1068,3.75,404,0.11329588014981273,29,204,1
1136,4.417910447761194,566,0.09154929577464789,32,201,1
2509,11.528795811518325,1850,0.16062176165803108,68,191,1
2432,12.100558659217876,1894,0.14185855263157895,75,179,1
793,3.2528735632183907,324,0.09962168978562422,35,174,1
3598,17.21025641025641,572,0.7487493051695386,34,195,1
1716,8.35754189944134,1273,0.16317016317016317,41,179,1
1153,6.123376623376624,650,0.1170858629661752,56,154,1
1140,6.086092715231788,711,0.22543859649122808,55,151,1
2307,10.139303482587065,920,0.16081491114000868,32,201,1
610,2.5304878048780486,223,0.13442622950819672,29,164,1
1183,6.20125786163522,814,0.2037193575655114,34,159,1
1787,6.154166666666667,1134,0.13542249580302182,56,240,1
669,2.6272189349112427,233,0.12406576980568013,56,169,1
613,2.803921568627451,227,0.12398042414355628,29,153,1
615,2.335227272727273,220,0.14471544715447154,28,176,1
2140,11.676829268292684,1685,0.15560747663551402,61,164,1
753,2.808743169398907,271,0.11952191235059761,56,183,1
653,2.3369565217391304,237,0.13476263399693722,39,184,1
608,2.284090909090909,219,0.14473684210526316,30,176,1
614,2.32183908045977,220,0.14332247557003258,28,174,1
2151,11.658536585365853,1682,0.15341701534170155,73,164,1
724,2.883720930232558,252,0.11878453038674033,54,172,1
665,2.467032967032967,245,0.12781954887218044,30,182,1
641,2.2795698924731185,225,0.1419656786271451,29,186,1
598,2.214689265536723,222,0.14214046822742474,29,177,1
2162,11.889570552147239,1636,0.1549491211840888,61,163,1
848,3.3516483516483517,319,0.10731132075471699,56,182,1
728,2.7675675675675677,274,0.12774725274725274,29,185,1
723,2.777173913043478,281,0.1272475795297372,28,184,1
719,3.005813953488372,270,0.12100139082058414,30,172,1
2464,12.17032967032967,1797,0.1444805194805195,63,182,1
815,3.119565217391304,304,0.11288343558282209,57,184,1
768,3.169491525423729,295,0.11588541666666667,28,177,1
681,2.9216867469879517,256,0.12334801762114538,30,166,1
713,2.8055555555555554,271,0.12622720897615708,28,180,1
2325,12.005747126436782,1716,0.14709677419354839,62,174,1
793,3.1,295,0.11349306431273644,55,180,1
780,3.2556818181818183,299,0.11025641025641025,29,176,1
707,2.6847826086956523,266,0.13012729844413012,29,184,1
680,2.8294117647058825,255,0.12352941176470589,29,170,1
2284,11.203296703296703,1698,0.15148861646234676,61,182,1
730,2.835227272727273,261,0.12191780821917808,55,176,1
761,3.280701754385965,292,0.1116951379763469,29,171,1
684,2.6610169491525424,252,0.1286549707602339,30,177,1
763,2.9456521739130435,298,0.1363040629095675,37,184,1
2270,11.531073446327683,1698,0.14625550660792952,52,177,1
782,3.1016949152542375,289,0.11125319693094629,56,177,1
774,3.1920903954802258,295,0.11498708010335917,30,177,1
713,2.7888888888888888,270,0.12201963534361851,29,180,1
1202,6.024096385542169,774,0.18386023294509152,34,166,1
1841,9.022598870056497,1217,0.11189570885388377,63,177,1
789,2.8624338624338623,286,0.1229404309252218,49,189,1
773,3.1977401129943503,295,0.11513583441138421,30,177,1
725,2.8666666666666667,275,0.12413793103448276,29,180,1
2262,11.859649122807017,1709,0.15030946065428824,61,171,1
874,3.356382978723404,321,0.10869565217391304,55,188,1
754,2.9347826086956523,282,0.1220159151193634,30,184,1
696,3.0180722891566263,266,0.11781609195402298,29,166,1
693,2.871345029239766,262,0.12265512265512266,29,171,1
2212,11.221590909090908,1693,0.15551537070524413,61,176,1
861,3.474860335195531,315,0.10336817653890824,56,179,1
701,3.0481927710843375,263,0.11982881597717546,29,166,1
825,3.194736842105263,320,0.11636363636363636,28,190,1
839,3.2473684210526317,328,0.11442193087008343,30,190,1
2452,11.65079365079365,1779,0.14192495921696574,61,189,1
936,3.489795918367347,362,0.1047008547008547,56,196,1
894,3.582010582010582,356,0.10514541387024609,28,189,1
844,3.261780104712042,329,0.11374407582938388,30,191,1
